,Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
523,Levosimendan,S2446,"C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1 |r,c:6,20,t:9,11|",L1300-06,d11
524,Amantadine hydrochloride (Symmetrel),S2451,Cl.NC12CC3CC(CC(C3)C1)C2,L1300-06,e11
525,Amfebutamone (Bupropion),S2452,"Cl.CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1 |c:11,14,t:9|",L1300-06,f11
526,Benserazide,S2453,"Cl.NC(CO)C(=O)NNCC1=C(O)C(O)=C(O)C=C1 |c:9,16,t:13|",L1300-06,g11
527,Bupivacaine hydrochloride (Marcain),S2454,"Cl.CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C |c:14,17,19|",L1300-06,h11
528,Bethanechol chloride,S2455,[Cl-].CC(C[N+](C)(C)C)OC(N)=O,L1300-07,a1
529,Chlorpromazine (Sonazine),S2456,"Cl.CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2 |c:7,10,16,19,21,t:13|",L1300-07,b1
530,Clindamycin hydrochloride (Dalacin),S2457,Cl.CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H](C(C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O |r|,L1300-07,c1
531,Clonidine hydrochloride (Catapres),S2458,"Cl.ClC1=CC=CC(Cl)=C1NC1=NCCN1 |c:3,6,t:1,10|",L1300-07,d1
532,Clozapine (Clozaril),S2459,"CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2 |c:10,13,16,18,21,24,t:8|",L1300-07,e1
533,Pramipexole (Mirapex),S2460,"CCCN[C@H]1CCC2=C(C1)SC(N)=N2 |r,c:7,13|",L1300-07,f1
534,Domperidone (Motilium),S2461,"ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=C3C=CC=C4)CC1)C(=O)N2 |c:3,5,20,23,25,t:1|",L1300-07,g1
535,Estriol,S2466,"[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H] |r,c:19,t:14,16|",L1300-07,h1
536,Famciclovir (Famvir),S2467,"CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O |c:9,t:11,13,16|",L1300-07,a2
537,Fenbendazole ,S2468,"COC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2 |c:7,16,18,21,t:5,11,14|",L1300-07,b2
538,Fluocinolone acetonide (Flucort-N),S2470,"[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@]([H])(F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO |r,c:15,t:11|",L1300-07,c2
539,Gallamine triethiodide (Flaxedil),S2471,"[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC |c:12,24,t:10|",L1300-07,d2
540,Imatinib (Gleevec),S2475,"CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CC=CN=C3)=C2)CC1 |c:8,10,25,27,32,34,36,t:6,16,18,23,30|",L1300-07,e2
541,Itraconazole (Sporanox),S2476,"CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1 |r,c:5,13,15,37,39,49,53,t:11,25,27,44,46|",L1300-07,f2
542,Lincomycin hydrochloride (Lincocin),S2479,Cl.[H][C@@]1(O[C@H](SC)[C@H](O)[C@@H](O)[C@@H]1O)[C@H](NC(=O)[C@@H]1C[C@@H](CCC)CN1C)[C@@H](C)O |r|,L1300-07,g2
543,Loperamide hydrochloride,S2480,"Cl.CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1 |c:21,26,28,33,35,t:16,18,24,31|",L1300-07,h2
544,Manidipine (Manyper),S2481,"COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1 |c:4,9,15,17,38,40,45,47,t:13,36,43|",L1300-07,a3
545,Milrinone (Primacor),S2484,"CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1 |c:13,15,t:1,3,11|",L1300-07,b3
546,Mitoxantrone Hydrochloride,S2485,"Cl.Cl.OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C1=C(O)C=CC(O)=C1C2=O |c:18,23,26,29,t:7,9|",L1300-07,c3
547,Moroxydine,S2486,Cl.NC(=N)NC(=N)N1CCOCC1,L1300-07,d3
548,Mycophenolic (Mycophenolate),S2487,"COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(O)=O |c:2,13,t:5|",L1300-07,e3
549,Nateglinide (Starlix),S2489,"CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O |r,c:17,19,t:15|",L1300-07,f3
550,Nitrendipine,S2491,"CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC |c:5,10,16,18,t:14|",L1300-07,g3
551,Novobiocin sodium (Albamycin),S2492,"[Na+].CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=CC=C3C(O)=C(NC(=O)C4=CC=C([O-])C(CC=C(C)C)=C4)C(=O)OC3=C2C)OC1(C)C |r,c:32,39,t:12,14,17,22,24|",L1300-07,h3
552,Olanzapine (Zyprexa),S2493,"CN1CCN(CC1)C1=NC2=C(NC3=C1C=C(C)S3)C=CC=C2 |c:10,13,21,23,t:8,16|",L1300-07,a4
553,Olopatadine hydrochloride (Opatanol),S2494,"Cl.CN(C)CC\C=C1\C2=C(COC3=C1C=C(CC(O)=O)C=C3)C=CC=C2 |c:7,11,20,23,25,t:14|",L1300-07,b4
554,Oxymetazoline hydrochloride,S2495,"Cl.CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C |c:7,t:1,3,11|",L1300-07,c4
555,Ozagrel,S2496,"OC(=O)\C=C\C1=CC=C(CN2C=CN=C2)C=C1 |c:11,13,16,t:5,7|",L1300-07,d4
556,Pancuronium (Pavulon),S2497,[Br-].[Br-].[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1 |r|,L1300-07,e4
557,Phenoxybenzamine HCl,S2499,"Cl.CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1 |c:6,8,18,20,t:4,16|",L1300-07,f4
558,Propafenone (Rytmonorm),S2500,"CCCNCC(O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1 |c:11,13,22,24,t:9,20|",L1300-07,g4
559,Quinine hydrochloride dihydrate,S2502,"O.O.Cl.[H][C@@]12CCN(C[C@@H]1C=C)[C@@]([H])(C2)[C@H](O)C1=CC=NC2=C1C=C(OC)C=C2 |r,c:18,20,27,t:16,23|",L1300-07,h4
560,Racecadotril (Acetorphan),S2503,"CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC1=CC=CC=C1 |c:9,11,24,26,t:7,22|",L1300-07,a5
561,Ribavirin (Copegus),S2504,"NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O |r,c:6,t:3|",L1300-07,b5
562,Rosiglitazone maleate,S2505,"OC(=O)\C=C/C(O)=O.CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=NC=CC=C1 |c:25,30,32,t:12,14,28|",L1300-07,c5
563,Roxithromycin (Roxl-150),S2506,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)\C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O |r|,L1300-07,d5
564,Scopolamine hydrobromide,S2508,"Br.[H][C@]12O[C@@]1([H])[C@]1([H])C[C@@H](C[C@@]2([H])N1C)OC(=O)[C@H](CO)C1=CC=CC=C1 |r,c:25,27,t:23|",L1300-07,e5
565,Sotalol (Betapace),S2509,"Cl.CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1 |c:16,t:7,9|",L1300-07,f5
566,Spectinomycin  hydrochloride,S2510,Cl.Cl.[H][C@]12O[C@]3([H])O[C@H](C)CC(=O)[C@]3(O)O[C@]1([H])[C@@H](NC)[C@@H](O)[C@@H](NC)[C@@H]2O |r|,L1300-07,g5
567,Tenoxicam (Mobiflex),S2512,"CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O |c:8,10,17,t:6,12,15|",L1300-07,h5
568,Vardenafil (Vivanza),S2515,"O.O.O.Cl.CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1 |c:6,10,18,20,t:3,16|",L1300-07,a6
569,Xylazine HCl,S2516,"Cl.CC1=CC=CC(C)=C1NC1=NCCCS1 |c:3,6,t:1,10|",L1300-07,b6
570,Maprotiline hydrochloride,S2517,"Cl.CNCCCC12CCC(C3=CC=CC=C13)C1=C2C=CC=C1 |c:11,17,20,22,t:9,13|",L1300-07,c6
571,Naphazoline hydrochloride (Naphcon),S2519,"Cl.C(C1=NCCN1)C1=C2C=CC=CC2=CC=C1 |c:7,9,11,14,16,t:1|",L1300-07,d6
572,Epinephrine bitartrate (Adrenalinium),S2521,"O[C@H]([C@@H](O)C(O)=O)C(O)=O.CNC[C@H](O)C1=CC(O)=C(O)C=C1 |r,c:20,t:14,17|",L1300-07,e6
573,L-Adrenaline (Epinephrine),S2522,"CNC[C@H](O)C1=CC(O)=C(O)C=C1 |r,c:11,t:5,8|",L1300-07,f6
574,Phenytoin sodium (Dilantin),S2524,"[Na+].[O-]C1=NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1 |c:10,12,17,19,t:1,8,15|",L1300-07,g6
575,Phenytoin (Lepitoin),S2525,"O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1 |c:10,12,17,19,t:8,15|",L1300-07,h6
576,Methacycline hydrochloride (Physiomycine),S2527,"Cl.[H][C@@]12[C@@H](O)[C@]3([H])C(=C)C4=CC=CC(O)=C4C(=O)C3=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C |r,c:10,13,t:8,19,30|",L1300-07,a7
577,Ciclopirox (Penlac),S2528,"CC1=CC(=O)N(O)C(=C1)C1CCCCC1 |c:7,t:1|",L1300-07,b7
578,Dopamine hydrochloride (Inotropin),S2529,"Cl.NCCC1=CC(O)=C(O)C=C1 |c:9,t:3,6|",L1300-07,c7
579,Ritodrine hydrochloride (Yutopar),S2533,"Cl.[H][C@](C)(NCCC1=CC=C(O)C=C1)[C@@]([H])(O)C1=CC=C(O)C=C1 |r,c:11,22,t:6,8,17,19|",L1300-07,d7
580,Isoconazole nitrate (Travogen),S2534,"O[N+]([O-])=O.ClC1=CC=C(C(CN2C=CN=C2)OCC2=C(Cl)C=CC=C2Cl)C(Cl)=C1 |c:11,13,18,21,23,28,t:4,6|",L1300-07,e7
581,Econazole nitrate (Spectazole),S2535,"O[N+]([O-])=O.ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1 |c:13,15,23,27,t:4,6,18,20|",L1300-07,f7
582,Miconazole (Monistat),S2536,"ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C(Cl)=C1 |c:10,12,15,21,25,t:1,3,18|",L1300-07,g7
583,Secnidazole (Flagentyl),S2537,"CC(O)CN1C(C)=NC=C1[N+]([O-])=O |c:6,8|",L1300-07,h7
584,Acetanilide (Antifebrin),S2538,"CC(=O)NC1=CC=CC=C1 |c:6,8,t:4|",L1300-07,a8
585,Clomipramine HCl ,S2541,"Cl.CN(C)CCCN1C2=C(CCC3=C1C=C(Cl)C=C3)C=CC=C2 |c:7,11,17,20,22,t:14|",L1300-07,b8
586,Phenformin hydrochloride,S2542,"Cl.NC(=N)NC(=N)NCCC1=CC=CC=C1 |c:11,13,t:9|",L1300-07,c8
587,Ceftiofur HCl,S2543,"Cl.[H][C@@]1(NC(=O)C(=N\OC)\C2=CSC(N)=N2)C(=O)N2C(C(O)=O)=C(CSC(=O)C3=CC=CO3)CS[C@]12[H] |r,c:13,30,t:9,22,28|",L1300-07,d8
588,Scopine,S2545,[H][C@]12O[C@@]1([H])[C@]1([H])C[C@H](O)C[C@@]2([H])N1C |r|,L1300-07,e8
589,Tiotropium Bromide hydrate,S2547,"O.[Br-].[H][C@]12C[C@@H](C[C@]([H])([C@H]3O[C@@H]13)[N+]2(C)C)OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1 |r,c:23,29,t:21,27|",L1300-07,f8
590,Trospium chloride (Sanctura),S2549,"[Cl-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1 |r,c:17,19,24,26,t:15,22|",L1300-07,g8
591,Tolterodine tartrate (Detrol LA),S2550,"O[C@H]([C@@H](O)C(O)=O)C(O)=O.CC(C)N(CC[C@H](C1=CC=CC=C1)C1=CC(C)=CC=C1O)C(C)C |r,c:18,20,26,28,t:16,23|",L1300-07,h8
592,Sulbactam sodium (Unasyn),S2551,[Na+].[H][C@@]12CC(=O)N1[C@@]([H])(C([O-])=O)C(C)(C)S2(=O)=O |r|,L1300-07,a9
593,Azelastine hydrochloride (Astelin),S2552,"Cl.CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O |c:18,23,25,t:10,13,15,21|",L1300-07,b9
594,5-Aminolevulinic acid hydrochloride,S2553,Cl.NCC(=O)CCC(O)=O,L1300-07,c9
595,"Clarithromycin (Biaxin, Klacid)",S2555,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC |r|,L1300-07,d9
596,Rosiglitazone (Avandia),S2556,"CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1 |c:18,23,25,t:5,7,21|",L1300-07,e9
597,Terbinafine hydrochloride (Lamisil),S2557,"Cl.CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=C1C=CC=C2 |c:14,16,19,21,t:12|",L1300-07,f9
598,Cortisone acetate (Cortone),S2559,"[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C |r,t:26|",L1300-07,g9
599,Amiloride hydrochloride dihydrate,S2560,"O.O.Cl.NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N |c:12,t:6,9|",L1300-07,h9
600,Clomifene citrate (Serophene),S2561,"OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(/Cl)C1=CC=CC=C1)\C1=CC=CC=C1 |c:22,24,32,34,39,41,t:20,30,37|",L1300-07,a10
601,Cloxacillin sodium (Cloxacap),S2564,"O.[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1Cl)C([O-])=O |r,c:16,20,25,27,t:23|",L1300-07,b10
602,Amoxicillin sodium (Amox),S2565,"[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C([O-])=O |r,c:23,t:18,20|",L1300-07,c10
603,Isoprenaline hydrochloride,S2566,"Cl.CC(C)NCC(O)C1=CC=C(O)C(O)=C1 |c:13,t:7,9|",L1300-07,d10
604,Medroxyprogesterone acetate,S2567,"[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C |r,t:25|",L1300-07,e10
605,Phenylephrine HCl,S2569,"Cl.[H][C@](O)(CNC)C1=CC(O)=CC=C1 |r,c:9,11,t:6|",L1300-07,f10
606,Prednisolone acetate (Omnipred),S2570,"[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:30,t:26|",L1300-07,g10
607,Tetracaine hydrochloride (Pontocaine),S2573,"Cl.CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C |c:7,9,t:5|",L1300-07,h10
608,Tetracycline HCl,S2574,"Cl.[H][C@]12C[C@@]3([H])[C@]([H])(N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C(O)C=CC=C1[C@@]2(C)O |r,c:22,27,30,32,t:11|",L1300-07,a11
609,Xylometazoline HCl,S2576,"Cl.CC1=CC(=CC(C)=C1CC1=NCCN1)C(C)(C)C |c:3,6,t:1,10|",L1300-07,b11
610,Phenacetin,S2577,"CCOC1=CC=C(NC(C)=O)C=C1 |c:11,t:3,5|",L1300-07,c11
611,Zidovudine (Retrovir),S2579,"CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O |r,t:1|",L1300-07,d11
612,Quinapril HCl (Accupril),S2581,"Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=C(C[C@H]1C(O)=O)C=CC=C2 |r,c:10,12,22,30,32,t:8|",L1300-07,e11
613,Thiamphenicol (Thiophenicol),S2583,"CS(=O)(=O)C1=CC=C(C=C1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl |r,c:6,8,t:4|",L1300-07,f11
614,Clobetasol propionate,S2584,"[H][C@]1(C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@]([H])(O)C[C@]2(C)[C@@]1(OC(=O)CC)C(=O)CCl |r,c:14,t:10|",L1300-07,g11
615,Brompheniramine,S2585,"OC(=O)\C=C/C(O)=O.CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1 |c:18,23,25,t:13,15,21|",L1300-07,h11
616,Dimethyl Fumarate,S2586,COC(=O)\C=C\C(=O)OC,L1300-08,a1
617,Miglitol (Glyset),S2589,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO |r|,L1300-08,b1
618,Pioglitazone (Actos),S2590,"CCC1=CC=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)N=C1 |c:22,25,t:2,4,9,11|",L1300-08,c1
619,Tolvaptan (OPC-41061),S2593,"CC1=CC=CC=C1C(=O)NC1=CC(C)=C(C=C1)C(=O)N1CCCC(O)C2=C1C=CC(Cl)=C2 |c:3,5,14,16,27,30,33,t:1,11|",L1300-08,d1
620,Pramiracetam,S2594,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,L1300-08,e1
621,Clindamycin palmitate HCl,S2596,Cl.CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1SC)C(NC(=O)C1CC(CCC)CN1C)C(C)Cl,L1300-08,f1
622,L-Thyroxine,S2599,"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O |r,c:16,20,t:3,6,9,12|",L1300-08,g1
623,Gliclazide (Diamicron),S2601,"CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1 |c:3,5,t:1|",L1300-08,h1
624,Acemetacin (Emflex),S2602,"COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O |c:4,6,17,21,t:2,12,14|",L1300-08,a2
625,Tioxolone,S2603,"OC1=CC=C2SC(=O)OC2=C1 |c:10,t:1,3|",L1300-08,b2
626,Dehydroepiandrosterone (DHEA),S2604,"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C |r,t:17|",L1300-08,c2
627,Idebenone,S2605,"COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O |c:2,t:19|",L1300-08,d2
628,Mifepristone (Mifeprex),S2606,"[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H] |r,c:16,18,24,30,t:14|",L1300-08,e2
629,Buflomedil HCl,S2607,"Cl.COC1=CC(OC)=C(C(=O)CCCN2CCCC2)C(OC)=C1 |c:21,t:2,6|",L1300-08,f2
630,Fluocinonide (Vanos),S2608,"[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C |r,c:36,t:32|",L1300-08,g2
631,Lonidamine,S2610,"OC(=O)C1=NN(CC2=C(Cl)C=C(Cl)C=C2)C2=CC=CC=C12 |c:7,13,18,t:3,10,16,20|",L1300-08,h2
632,Clorsulon,S2613,"NC1=CC(C(Cl)=C(Cl)Cl)=C(C=C1S(N)(=O)=O)S(N)(=O)=O |c:8,10,t:1|",L1300-08,a3
633,Arecoline,S2614,Br.COC(=O)C1=CCCN(C)C1 |t:4|,L1300-08,b3
634,Noradrenaline bitartrate monohydrate (Levophed),S2615,"O.[H][C@](O)(C(O)=O)[C@@]([H])(O)C(O)=O.[H][C@](O)(CN)C1=CC(O)=C(O)C=C1 |r,c:22,t:16,19|",L1300-08,c3
635,PCI-32765 (Ibrutinib),S2680,"NC1=C2C(=NC=N1)N(N=C2C1=CC=C(OC2=CC=CC=C2)C=C1)C1CCCN(C1)C(=O)C=C |c:3,5,9,19,21,24,t:1,12,14,17,@:7|",L1300-08,d3
636,Nilvadipine (ARC029),S2721,"COC(=O)C1=C(NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N |c:8,14,16,t:4,12|",L1300-08,e3
637,Dabrafenib (GSK2118436),S2807,"CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1 |c:6,13,15,18,26,29,31,34,36,t:4,10|",L1300-08,f3
638,Clindamycin,S2830,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H](C(C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O |r|,L1300-08,g3
639,Carfilzomib (PR-171),S2853,"CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1 |r,c:13,15,36,38,t:11,34|",L1300-08,h3
640,Cobicistat (GS-9350),S2900,"CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1 |r,c:32,34,44,51,53,55,t:3,30,42,49|",L1300-08,a4
641,Carbazochrome sodium sulfonate,S3000,"[Na+].CN1C(CC2=C\C(=N\NC(N)=O)C(=O)C=C12)S([O-])(=O)=O |t:4,14|",L1300-08,b4
642,Rivaroxaban (Xarelto),S3002,"ClC1=CC=C(S1)C(=O)NCC1CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O |c:3,20,22,t:1,18|",L1300-08,c4
643,Paroxetine HCl,S3005,"Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1 |r,c:3,5,25,t:1,17,19|",L1300-08,d4
644,Zanamivir,S3007,"[H][C@]1(OC(=C[C@H](NC(N)=N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO |r,c:3|",L1300-08,e4
645,Zaltoprofen,S3008,"CC(C(O)=O)C1=CC2=C(SC3=CC=CC=C3C(=O)C2)C=C1 |c:12,14,21,t:5,7,10|",L1300-08,f4
646,Pazopanib,S3012,"CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=NC=C1 |c:9,12,24,30,32,t:2,4,15,19,21|",L1300-08,g4
647,Amoxicillin (Amoxycillin),S3015,"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O |r,c:23,t:18,20|",L1300-08,h4
648,Aspirin (Acetylsalicylic acid),S3017,"CC(=O)OC1=C(C=CC=C1)C(O)=O |c:6,8,t:4|",L1300-08,a5
649,Niflumic acid,S3018,"OC(=O)C1=CC=CN=C1NC1=CC=CC(=C1)C(F)(F)F |c:5,7,13,15,t:3,11|",L1300-08,b5
650,Ciclopirox ethanolamine,S3019,"NCCO.CC1=CC(=O)N(O)C(=C1)C1CCCCC1 |c:10,t:4|",L1300-08,c5
651,Rimonabant (SR141716),S3021,"CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Cl)C=C1 |c:4,22,31,t:1,17,19,26,28|",L1300-08,d5
652,Cabazitaxel (Jevtana),S3022,"[H][C@@]12C[C@H](OC)[C@@]3(C)C(=O)[C@H](OC)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1 |r,c:13,26,28,63,65,t:24,61|",L1300-08,e5
653,Bufexamac,S3023,"CCCCOC1=CC=C(CC(=O)NO)C=C1 |c:14,t:5,7|",L1300-08,f5
654,Lamotrigine,S3024,"NC1=NC(N)=C(N=N1)C1=CC=CC(Cl)=C1Cl |c:4,6,11,14,t:1,9|",L1300-08,g5
655,PMSF (Phenylmethylsulfonyl Fluoride),S3025,"FS(=O)(=O)CC1=CC=CC=C1 |c:7,9,t:5|",L1300-08,h5
656,Fenoprofen calcium hydrate,S3027,"O.O.CC(C(=O)O[Ca]OC(=O)C(C)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=CC(OC2=CC=CC=C2)=C1 |c:13,19,21,23,28,34,36,38,t:11,17,26,32|",L1300-08,a6
657,Linagliptin (BI-1356),S3031,"CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1 |r,c:5,7,18,20,24,t:14,16|",L1300-08,b6
658,Bindarit,S3032,"CC(C)(OCC1=NN(CC2=CC=CC=C2)C2=C1C=CC=C2)C(O)=O |c:11,13,16,19,21,t:5,9|",L1300-08,c6
